dataset_uri,domain,drought_early_warning_score,drought_early_warning_readiness,drought_early_warning_temporal_recency,drought_early_warning_update_frequency,drought_early_warning_temporal_coverage,drought_early_warning_spatial_precision,drought_early_warning_format_readability,drought_early_warning_license_openness,drought_early_warning_description_quality,drought_early_warning_vocabulary_standard,drought_early_warning_multilingual,climate_infrastructure_score,climate_infrastructure_readiness,climate_infrastructure_temporal_recency,climate_infrastructure_update_frequency,climate_infrastructure_temporal_coverage,climate_infrastructure_spatial_precision,climate_infrastructure_format_readability,climate_infrastructure_license_openness,climate_infrastructure_description_quality,climate_infrastructure_vocabulary_standard,climate_infrastructure_multilingual,nbs_monitoring_score,nbs_monitoring_readiness,nbs_monitoring_temporal_recency,nbs_monitoring_update_frequency,nbs_monitoring_temporal_coverage,nbs_monitoring_spatial_precision,nbs_monitoring_format_readability,nbs_monitoring_license_openness,nbs_monitoring_description_quality,nbs_monitoring_vocabulary_standard,nbs_monitoring_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
http://data.europa.eu/88u/dataset/7af033f7-32bd-68dc-984f-808ce36f7bf4,drought_early_warning,0.27,Insufficient,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.275,Insufficient,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.34,Insufficient,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.36,Insufficient,0.5,0.0,1.0,0.0,0.0,0.2,0.5,0.26,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.5,0.31,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.5
http://data.europa.eu/88u/dataset/49e0857d-e130-46a9-b7c1-00cc6a8320f2~~1,drought_early_warning,0.22,Insufficient,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.5,0.3,0.375,Insufficient,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.5,0.3,0.365,Insufficient,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.5,0.3,0.26,Insufficient,0.0,0.0,1.0,0.0,0.0,0.7,0.5,0.335,Insufficient,0.0,0.7,0.8,0.5,0.0,0.0,0.0,0.335,Insufficient,0.5,0.3,0.4,0.0,0.7,0.0,0.0
http://data.europa.eu/88u/dataset/phosphorus-33-uptake-by-seven-grassland-plant-species-from-three-contrasting-soil-phosphorus-ch,drought_early_warning,0.1,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.28,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.205,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.065,Insufficient,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.245,Insufficient,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.315,Insufficient,0.3,0.3,0.4,0.0,1.0,0.0,0.0
http://data.europa.eu/88u/dataset/30065ec4-511b-4e65-9f1a-3ba0ed4befdd,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/2fe28cc3-5e8b-40d9-931c-6c4ccaeb12af,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/2e41c6b1-a140-4d64-8ddc-892ff6bcc7ea,drought_early_warning,0.23,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.265,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.33,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.31,Insufficient,0.3,0.0,1.0,0.0,0.0,0.2,0.5,0.25,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.3,0.3,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.3
http://data.europa.eu/88u/dataset/2f4c9836-5c61-428a-82ae-9d6191cfdfa6,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/0800af55-8e56-49a0-8986-aa55151d0440,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/b1889a8b-4f4a-47de-a04e-40112ad906cf,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/b08b2c25-2519-4703-8464-2ca20454c46b,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/022ba730-213c-4315-8717-d1be0be3d59d,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/026d2f00-e608-4a67-82bc-8f1ec6ef06bb,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/0585d4de-a3ff-4c75-bb3e-eded4718f0c4,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/05cf7d50-b8c6-4097-b41b-8f1aad4291ea,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/065af37e-7b39-4444-aa2c-07692542f45e,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/06757e0a-7b1a-46aa-9638-370e9a0e64a5,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/af1526e2-95fd-45ef-a69a-227f4bbf0e4f,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/b0bc36be-f7bd-43df-a46e-7655173355ef,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/ca541290-c751-4da5-92d1-1240c619543c,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/e5ec622c-68f8-4250-b667-d7123ad8b3ef,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/e0c8aee5-98a9-4e2e-9900-d74d78699a71,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/4ca67e2e-237b-4074-8876-45960ca201c1,drought_early_warning,0.19,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.255,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.32,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.26,Insufficient,0.1,0.0,1.0,0.0,0.0,0.2,0.5,0.24,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/8abcd562-0665-4356-a038-e2c8c601aee4,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/775f3838-269f-4df8-91a4-bbd5b0fc41ca,drought_early_warning,0.23,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.265,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.33,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3,0.31,Insufficient,0.3,0.0,1.0,0.0,0.0,0.2,0.5,0.25,Insufficient,0.0,0.2,0.8,0.5,0.0,0.0,0.3,0.3,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.3
http://data.europa.eu/88u/dataset/d68560e6-2044-4def-9fee-9d7ff8f54f45,drought_early_warning,0.21,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.305,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.34,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.4,0.5,0.3,0.27,Insufficient,0.1,0.0,1.0,0.0,0.0,0.4,0.5,0.28,Insufficient,0.0,0.4,0.8,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/aba94d33-88a2-47c0-a263-e8e44116942a,drought_early_warning,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.045,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/untersuchungen-zur-biologie-ausgewahlter-moosarten-des-anhangs-ii-der-ffh-richtlinie-im-nationa,drought_early_warning,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.045,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/9829e781-15ff-40c0-b08b-3032d2095b4c,drought_early_warning,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.045,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/93969ac991412be04fe6e696ef6e9636e0580349,drought_early_warning,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.045,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.0
http://data.europa.eu/88u/dataset/5b90d42b-932b-4141-9c0e-d6e08fcf50fa,drought_early_warning,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.045,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.0
