dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
eu-water-6a666f9fa0c7,Water Quality Monitoring Data - AT,Time series data for drinking water parameters measured at multiple locations. Covers all relevant water bodies within the jurisdiction.,19,water_quality,AT,AT Hydrological Service,national_hydro,CSV,2008-01-01,2023-12-31,15,2024-11-19,daily,coordinates,True,CC-BY-4.0,True,0,,True,5,True,0.7200000000000001,Ready,0.1,1.0,1.0,0.9,1.0,0.2,1.0,0.755,Ready,1.0,0.2,0.8,1.0,0.9,1.0,0.1,0.8,Ready,1.0,1.0,0.7,0.9,0.2,1.0,0.1
eu-water-f14d84b76484,Nitrate Concentrations - AT,,0,agricultural_runoff,AT,AT Environmental Agency,national_hydro,,2018-01-01,2020-12-31,2,2026-01-08,annual,region_name,False,CC-BY-SA-4.0,True,1,,False,1,False,0.4,Partial,0.5,0.3,0.5,0.0,1.0,0.0,0.3,0.395,Insufficient,0.3,0.0,1.0,0.3,0.0,1.0,0.5,0.29000000000000004,Insufficient,0.3,0.3,0.4,0.0,0.0,1.0,0.5
eu-water-00e851f26990,Biological Quality Elements - SE,Comprehensive drinking water information compiled under EU reporting requirements.,9,water_quality,SE,SE Ministry of Environment,ministry,NetCDF,,,0,2023-03-01,annual,,False,,False,0,,False,4,True,0.2225,Insufficient,0.1,0.3,0.0,0.85,0.0,0.2,0.0,0.13,Insufficient,0.0,0.2,0.0,0.0,0.85,0.0,0.1,0.4925,Partial,0.0,1.0,0.7,0.85,0.2,0.0,0.1
eu-water-6f96be95c772,Historical Flood Events - IT,Time series data for flood risk parameters measured at multiple locations. Includes both raw measurements and derived indicators.,18,floods,IT,IT Ministry of Environment,ministry,CSV,2019-01-01,2021-12-31,2,2023-03-23,annual,,False,CC-BY-4.0,True,0,,True,1,False,0.38,Insufficient,0.1,0.3,0.0,0.9,1.0,0.2,1.0,0.4600000000000001,Partial,0.3,0.2,0.0,1.0,0.9,1.0,0.1,0.6000000000000001,Partial,1.0,0.3,0.4,0.9,0.2,1.0,0.1
eu-water-e22c12c90fd7,Water Supply Statistics - BG,Comprehensive water services information compiled under EU reporting requirements. Includes both raw measurements and derived indicators.,16,utilities,BG,BG River Basin District,regional,Shapefile,2005-01-01,2020-12-31,15,2026-01-07,irregular,,False,custom_open,True,0,,False,1,False,0.38749999999999996,Insufficient,0.5,0.2,0.0,0.75,1.0,0.2,0.0,0.4900000000000001,Partial,1.0,0.2,0.0,0.0,0.75,1.0,0.5,0.34750000000000003,Insufficient,0.0,0.3,0.4,0.75,0.2,1.0,0.5
eu-water-6fdce3008def,Surface Water Chemistry - PT,Aggregated statistics on bathing water derived from national reporting systems.,10,water_quality,PT,PT Ministry of Environment,ministry,,2022-01-01,2025-12-31,3,2022-05-05,monthly,bbox,True,CC-BY-SA-4.0,True,4,bathing water|chemical status|surface water|water quality,True,1,False,0.505,Partial,0.1,0.6,1.0,0.0,1.0,0.2,1.0,0.565,Partial,0.6,0.2,0.8,1.0,0.0,1.0,0.1,0.465,Partial,1.0,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-2b54de8a4217,Aquifer Characteristics - LV,,0,groundwater,LV,LV River Basin District,regional,NetCDF,,,0,2026-01-23,annual,bbox,True,restricted,False,0,,False,1,False,0.6175,Partial,0.8,0.3,1.0,0.85,0.3,0.0,0.0,0.275,Insufficient,0.0,0.0,0.8,0.0,0.85,0.3,0.8,0.3225,Insufficient,0.0,0.3,0.4,0.85,0.0,0.3,0.8
eu-water-e25256d2975a,Water Supply Statistics - AT,,0,utilities,AT,AT River Basin District,regional,CSV,2019-01-01,2021-12-31,2,2022-01-27,weekly,coordinates,True,CC-BY-4.0,True,0,,False,1,False,0.62,Partial,0.1,0.8,1.0,0.9,1.0,0.0,0.0,0.39,Insufficient,0.3,0.0,0.8,0.0,0.9,1.0,0.1,0.33,Insufficient,0.0,0.3,0.4,0.9,0.0,1.0,0.1
eu-water-7a8314a76b6a,WFD Status Assessment - NL,This dataset contains Water Framework Directive data collected from monitoring stations across the region. Includes both raw measurements and derived indicators.,21,wfd_metrics,NL,Joint Research Centre,eu_agency,API,2016-01-01,2022-12-31,6,2025-12-28,irregular,bbox,True,EU-ODP,True,3,pressures and impacts|water body status|ecological status,True,3,True,0.685,Partial,0.5,0.2,1.0,1.0,1.0,0.4,1.0,0.825,Ready,1.0,0.4,0.8,1.0,1.0,1.0,0.5,0.8550000000000001,Ready,1.0,1.0,0.7,1.0,0.4,1.0,0.5
eu-water-4aef0f73fb3a,Historical Flood Events - CZ,,0,floods,CZ,CZ Regional Water Authority,regional,,,,0,2025-12-04,annual,,False,,False,0,,False,1,False,0.185,Insufficient,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.025,Insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.165,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,0.5
eu-water-ecaa54e9299a,Surface Water Chemistry - FR,This dataset contains chemical status data collected from monitoring stations across the region.,13,water_quality,FR,FR Environmental Agency,national_hydro,GeoTIFF,,,0,2026-01-26,annual,,False,CC-BY-SA-4.0,True,3,drinking water|chemical status|biological quality,False,1,False,0.515,Partial,0.8,0.3,0.0,0.8,1.0,0.2,0.5,0.3350000000000001,Insufficient,0.0,0.2,0.0,0.5,0.8,1.0,0.8,0.495,Partial,0.5,0.3,0.4,0.8,0.2,1.0,0.8
eu-water-577fb390039d,Biological Quality Elements - DK,This dataset contains chemical status data collected from monitoring stations across the region.,13,water_quality,DK,DK Regional Water Authority,regional,PDF,,,0,2024-03-25,annual,region_name,False,CC-BY-4.0,True,0,,False,1,False,0.325,Insufficient,0.1,0.3,0.5,0.2,1.0,0.2,0.0,0.31500000000000006,Insufficient,0.0,0.2,1.0,0.0,0.2,1.0,0.1,0.245,Insufficient,0.0,0.3,0.4,0.2,0.2,1.0,0.1
eu-water-dc380eea393a,Pesticide Monitoring - FR,Time series data for data parameters measured at multiple locations. Includes both raw measurements and derived indicators.,17,agricultural_runoff,FR,FR Regional Water Authority,regional,CSV,2019-01-01,2020-12-31,1,2022-07-28,unknown,,False,CC-BY-4.0,True,3,,False,1,False,0.29500000000000004,Insufficient,0.1,0.0,0.0,0.9,1.0,0.2,0.5,0.385,Insufficient,0.3,0.2,0.0,0.5,0.9,1.0,0.1,0.47500000000000003,Partial,0.5,0.3,0.4,0.9,0.2,1.0,0.1
eu-water-4203e5647ffc,Agricultural Pollution - AT,,0,agricultural_runoff,AT,AT Regional Water Authority,regional,,2002-01-01,2022-12-31,20,2025-05-25,irregular,coordinates,True,CC-BY-SA-4.0,True,1,,False,1,False,0.43000000000000005,Partial,0.3,0.2,1.0,0.0,1.0,0.0,0.3,0.53,Partial,1.0,0.0,0.8,0.3,0.0,1.0,0.3,0.28,Insufficient,0.3,0.3,0.4,0.0,0.0,1.0,0.3
eu-water-a2fab6944f00,Historical Flood Events - SK,Time series data for flood parameters measured at multiple locations.,10,floods,SK,SK Research Institute,research,,2012-01-01,2022-12-31,10,2024-07-27,annual,bbox,True,CC0,True,0,,True,1,False,0.445,Partial,0.1,0.3,1.0,0.0,1.0,0.2,1.0,0.665,Partial,1.0,0.2,0.8,1.0,0.0,1.0,0.1,0.465,Partial,1.0,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-fb658c2e3ecc,Flood Hazard Maps - HU,Aggregated statistics on flood risk derived from national reporting systems.,10,floods,HU,HU Regional Water Authority,regional,JSON,2022-01-01,2024-12-31,2,2022-11-29,irregular,,False,EU-ODP,True,0,,False,1,False,0.31000000000000005,Insufficient,0.1,0.2,0.0,0.9,1.0,0.2,0.0,0.31000000000000005,Insufficient,0.3,0.2,0.0,0.0,0.9,1.0,0.1,0.35000000000000003,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.1
eu-water-f08ec1758a90,Pressures and Impacts - FI,Spatial dataset representing pressures and impacts conditions based on field surveys and modeling.,13,wfd_metrics,FI,FI Hydrological Service,national_hydro,JSON,2014-01-01,2020-12-31,6,2026-01-01,irregular,region_name,False,CC0,True,0,,False,1,False,0.51,Partial,0.5,0.2,0.5,0.9,1.0,0.2,0.0,0.655,Partial,1.0,0.2,1.0,0.0,0.9,1.0,0.5,0.37000000000000005,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.5
eu-water-d32cd5598675,Biological Quality Elements - IT,Time series data for bathing water parameters measured at multiple locations.,11,water_quality,IT,IT River Basin District,regional,NetCDF,2021-01-01,2022-12-31,1,2022-11-27,unknown,,False,,False,0,,False,1,False,0.1625,Insufficient,0.1,0.0,0.0,0.85,0.0,0.2,0.0,0.20500000000000002,Insufficient,0.3,0.2,0.0,0.0,0.85,0.0,0.1,0.29250000000000004,Insufficient,0.0,0.3,0.4,0.85,0.2,0.0,0.1
eu-water-b1f4b6a07682,Pesticide Monitoring - NL,,0,agricultural_runoff,NL,NL Regional Water Authority,regional,PDF,2017-01-01,2023-12-31,6,2025-08-11,irregular,,False,custom_open,True,3,,False,1,False,0.27,Insufficient,0.3,0.2,0.0,0.2,1.0,0.0,0.5,0.4600000000000001,Partial,1.0,0.0,0.0,0.5,0.2,1.0,0.3,0.36000000000000004,Insufficient,0.5,0.3,0.4,0.2,0.0,1.0,0.3
eu-water-fe208fa24406,WFD Status Assessment - NL,,0,wfd_metrics,NL,NL River Basin District,regional,Shapefile,,,0,2025-12-04,weekly,,False,EU-ODP,True,0,,False,3,True,0.49750000000000005,Partial,0.5,0.8,0.0,0.75,1.0,0.0,0.0,0.2,Insufficient,0.0,0.0,0.0,0.0,0.75,1.0,0.5,0.5275,Partial,0.0,1.0,0.7,0.75,0.0,1.0,0.5
eu-water-83b0de91cf54,Water Quality Monitoring Data - FR,Aggregated statistics on water quality derived from national reporting systems. Updated regularly as part of ongoing monitoring programs.,18,water_quality,FR,University of FR,research,PDF,2014-01-01,2020-12-31,6,2022-08-10,monthly,,False,,False,3,water quality|biological quality|drinking water,False,2,True,0.21,Insufficient,0.1,0.6,0.0,0.2,0.0,0.2,0.5,0.39000000000000007,Insufficient,1.0,0.2,0.0,0.5,0.2,0.0,0.1,0.52,Partial,0.5,1.0,0.7,0.2,0.2,0.0,0.1
eu-water-c035428700df,Water Supply Statistics - IT,Spatial dataset representing water supply conditions based on field surveys and modeling.,12,utilities,IT,IT Regional Water Authority,regional,PDF,2012-01-01,2022-12-31,10,2022-01-15,irregular,,False,,False,0,,False,1,False,0.10500000000000001,Insufficient,0.1,0.2,0.0,0.2,0.0,0.2,0.0,0.31500000000000006,Insufficient,1.0,0.2,0.0,0.0,0.2,0.0,0.1,0.195,Insufficient,0.0,0.3,0.4,0.2,0.2,0.0,0.1
eu-water-df0595db14e6,Remote Sensing Water Data - DE,Spatial dataset representing water conditions based on field surveys and modeling.,11,cross_cutting,DE,Copernicus,eu_agency,PDF,2011-01-01,2021-12-31,10,2023-05-03,monthly,bbox,True,CC0,True,5,,True,5,True,0.535,Partial,0.1,0.6,1.0,0.2,1.0,0.2,1.0,0.685,Partial,1.0,0.2,0.8,1.0,0.2,1.0,0.1,0.6950000000000001,Partial,1.0,1.0,0.7,0.2,0.2,1.0,0.1
