dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency,impact_score,impact_publisher_type,impact_operational_keywords,impact_format_accessibility,impact_temporal_extent,impact_spatial_scope,early_warning_priority,compliance_reporting_priority,cross_border_priority,task,priority_rank
eu-water-41527c786abc,Water Quality Monitoring Data - IT,This dataset contains surface water data collected from monitoring stations across the region.,13,water_quality,IT,IT Hydrological Service,national_hydro,NetCDF,2019-01-01,2024-12-31,5,2025-07-21,irregular,,False,,False,3,surface water|drinking water|water quality,False,1,False,0.2775,Insufficient,0.3,0.2,0.0,0.85,0.0,0.2,0.5,0.365,Insufficient,0.6,0.2,0.0,0.5,0.85,0.0,0.3,0.4275,Partial,0.5,0.3,0.4,0.85,0.2,0.0,0.3,0.87,1.0,1.0,0.85,0.6,0.6,0.6285749999999999,0.55245,0.498075,early_warning,11
eu-water-ec04e5baf1cc,Agricultural Pollution - IE,Spatial dataset representing monitoring conditions based on field surveys and modeling.,11,agricultural_runoff,IE,Copernicus,eu_agency,Shapefile,2004-01-01,2024-12-31,20,2025-06-29,irregular,,False,,False,3,,True,1,False,0.2875,Insufficient,0.3,0.2,0.0,0.75,0.0,0.2,1.0,0.5300000000000001,Partial,1.0,0.2,0.0,1.0,0.75,0.0,0.3,0.5375,Partial,1.0,0.3,0.4,0.75,0.2,0.0,0.3,0.88,0.9,1.0,0.75,1.0,0.6,0.627,0.41359999999999986,0.40700000000000003,early_warning,12
eu-water-c58c0f4a7326,Flood Risk Assessment - PL,Spatial dataset representing flood hazard conditions based on field surveys and modeling. Updated regularly as part of ongoing monitoring programs.,20,floods,PL,PL Environmental Agency,national_hydro,API,2001-01-01,2021-12-31,20,2022-11-20,irregular,region_name,False,,False,1,return period,False,1,False,0.35,Insufficient,0.1,0.2,0.5,1.0,0.0,0.4,0.3,0.63,Partial,1.0,0.4,1.0,0.3,1.0,0.0,0.1,0.41,Partial,0.3,0.3,0.4,1.0,0.4,0.0,0.1,0.96,1.0,1.0,1.0,1.0,0.6,0.624,0.35519999999999996,0.5664,early_warning,13
eu-water-9c6a56bcd89d,Agricultural Pollution - ES,This dataset contains water data collected from monitoring stations across the region.,12,agricultural_runoff,ES,ES Water Agency,national_hydro,Shapefile,2010-01-01,2025-12-31,15,2024-04-25,annual,country_level,False,,False,3,,False,3,True,0.2925,Insufficient,0.1,0.3,0.3,0.75,0.0,0.2,0.5,0.5200000000000001,Partial,1.0,0.2,0.5,0.5,0.75,0.0,0.1,0.6024999999999999,Partial,0.5,1.0,0.7,0.75,0.2,0.0,0.1,0.88,1.0,1.0,0.75,0.8,0.6,0.6226,0.4223999999999999,0.34980000000000006,early_warning,14
eu-water-b06e73805553,European Nitrate Concentrations,Comprehensive water information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,16,agricultural_runoff,EU,Copernicus,eu_agency,PDF,2000-01-01,2020-12-31,20,2023-01-19,annual,country_level,False,,False,2,,True,4,True,0.235,Insufficient,0.1,0.3,0.3,0.2,0.0,0.2,1.0,0.54,Partial,1.0,0.2,0.5,1.0,0.2,0.0,0.1,0.7050000000000001,Ready,1.0,1.0,1.0,0.2,0.2,0.0,0.1,0.81,0.9,1.0,0.2,1.0,1.0,0.61965,0.3726,0.23894999999999997,early_warning,15
eu-water-8f481d7e091a,European Pesticide Monitoring,Time series data for data parameters measured at multiple locations. Covers all relevant water bodies within the jurisdiction.,18,agricultural_runoff,EU,EU Environmental Agency,national_hydro,PDF,2013-01-01,2023-12-31,10,2023-03-21,annual,,False,CC-BY-4.0,True,1,,False,1,False,0.24,Insufficient,0.1,0.3,0.0,0.2,1.0,0.2,0.3,0.4600000000000001,Partial,1.0,0.2,0.0,0.3,0.2,1.0,0.1,0.44,Partial,0.3,0.3,1.0,0.2,0.2,1.0,0.1,0.81,1.0,1.0,0.2,0.8,1.0,0.6156,0.43739999999999996,0.45360000000000006,early_warning,16
eu-water-222dd380b3df,Water Quality Monitoring Data - LT,,0,water_quality,LT,LT River Basin District,regional,NetCDF,2003-01-01,2023-12-31,20,2024-11-17,annual,,False,,False,0,,False,1,False,0.2125,Insufficient,0.1,0.3,0.0,0.85,0.0,0.0,0.0,0.34,Insufficient,1.0,0.0,0.0,0.0,0.85,0.0,0.1,0.2725,Insufficient,0.0,0.3,0.4,0.85,0.0,0.0,0.1,0.78,0.5,1.0,0.85,1.0,0.6,0.61425,0.5147999999999999,0.56745,early_warning,17
eu-water-83fa8c5b9528,Water Quality Monitoring Data - IT,,0,water_quality,IT,Copernicus,eu_agency,CSV,2020-01-01,2021-12-31,1,2023-08-19,irregular,,False,restricted,False,5,chemical status|bathing water|drinking water|water quality|surface water,False,2,True,0.255,Insufficient,0.1,0.2,0.0,0.9,0.3,0.0,0.5,0.275,Insufficient,0.3,0.0,0.0,0.5,0.9,0.3,0.1,0.62,Partial,0.5,1.0,0.7,0.9,0.0,0.3,0.1,0.8200000000000001,0.9,1.0,0.9,0.4,0.6,0.6109,0.5945,0.31160000000000004,early_warning,18
eu-water-88e6cceef650,Integrated Water Resources - BE,This dataset contains data data collected from monitoring stations across the region.,12,cross_cutting,BE,BE Water Agency,national_hydro,GeoTIFF,2017-01-01,2020-12-31,3,2025-07-19,annual,,False,,False,0,,False,1,False,0.265,Insufficient,0.3,0.3,0.0,0.8,0.0,0.2,0.0,0.285,Insufficient,0.6,0.2,0.0,0.0,0.8,0.0,0.3,0.295,Insufficient,0.0,0.3,0.4,0.8,0.2,0.0,0.3,0.8300000000000001,1.0,1.0,0.8,0.4,0.6,0.6100500000000001,0.5934500000000001,0.5851500000000001,early_warning,19
eu-water-83065e9e6ee8,Water Quality Monitoring Data - IT,,0,water_quality,IT,IT Ministry of Agriculture,ministry,CSV,,,0,2023-04-12,irregular,,False,,False,0,,False,1,False,0.2,Insufficient,0.1,0.2,0.0,0.9,0.0,0.0,0.0,0.095,Insufficient,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.28,Insufficient,0.0,0.3,0.4,0.9,0.0,0.0,0.1,0.76,0.7,1.0,0.9,0.4,0.6,0.6080000000000001,0.6878000000000001,0.5472,early_warning,20
eu-water-64394acacfc2,WFD Status Assessment - NL,This dataset contains river basin management data collected from monitoring stations across the region.,14,wfd_metrics,NL,NL Water Agency,national_hydro,Shapefile,,,0,2026-01-17,annual,,False,,False,0,,False,5,True,0.3825,Insufficient,0.8,0.3,0.0,0.75,0.0,0.2,0.0,0.155,Insufficient,0.0,0.2,0.0,0.0,0.75,0.0,0.8,0.5125,Partial,0.0,1.0,0.7,0.75,0.2,0.0,0.8,0.8200000000000001,1.0,1.0,0.75,0.4,0.6,0.50635,0.6929000000000001,0.39975000000000005,compliance_reporting,1
eu-water-83065e9e6ee8,Water Quality Monitoring Data - IT,,0,water_quality,IT,IT Ministry of Agriculture,ministry,CSV,,,0,2023-04-12,irregular,,False,,False,0,,False,1,False,0.2,Insufficient,0.1,0.2,0.0,0.9,0.0,0.0,0.0,0.095,Insufficient,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.28,Insufficient,0.0,0.3,0.4,0.9,0.0,0.0,0.1,0.76,0.7,1.0,0.9,0.4,0.6,0.6080000000000001,0.6878000000000001,0.5472,compliance_reporting,2
eu-water-8d88071d8b41,Water Quality Monitoring Data - NL,,0,water_quality,NL,NL Environmental Agency,national_hydro,CSV,,,0,2023-12-30,daily,country_level,False,restricted,False,0,,False,1,False,0.45,Partial,0.1,1.0,0.3,0.9,0.3,0.0,0.0,0.2,Insufficient,0.0,0.0,0.5,0.0,0.9,0.3,0.1,0.295,Insufficient,0.0,0.3,0.4,0.9,0.0,0.3,0.1,0.85,1.0,1.0,0.9,0.4,0.6,0.4675,0.68,0.5992500000000001,compliance_reporting,3
eu-water-2cc818f28498,European Surface Water Chemistry,This dataset contains surface water data collected from monitoring stations across the region.,13,water_quality,EU,EU Water Agency,national_hydro,CSV,,,0,2022-01-11,monthly,coordinates,True,,False,0,,False,1,False,0.49,Partial,0.1,0.6,1.0,0.9,0.0,0.2,0.0,0.255,Insufficient,0.0,0.2,0.8,0.0,0.9,0.0,0.1,0.42,Partial,0.0,0.3,1.0,0.9,0.2,0.0,0.1,0.89,1.0,1.0,0.9,0.4,1.0,0.4539,0.66305,0.5162000000000001,compliance_reporting,4
eu-water-20808fadab67,Surface Water Chemistry - PL,This dataset contains drinking water data collected from monitoring stations across the region.,13,water_quality,PL,PL Environmental Agency,national_hydro,Shapefile,2021-01-01,2022-12-31,1,2024-05-18,irregular,,False,,False,0,,False,1,False,0.1875,Insufficient,0.1,0.2,0.0,0.75,0.0,0.2,0.0,0.195,Insufficient,0.3,0.2,0.0,0.0,0.75,0.0,0.1,0.2775,Insufficient,0.0,0.3,0.4,0.75,0.2,0.0,0.1,0.8200000000000001,1.0,1.0,0.75,0.4,0.6,0.66625,0.6601,0.59245,compliance_reporting,5
eu-water-6d17cc9926be,Pesticide Monitoring - IT,Time series data for data parameters measured at multiple locations.,10,agricultural_runoff,IT,IT Ministry of Agriculture,ministry,CSV,,,0,2023-09-17,irregular,,False,,False,0,,False,1,False,0.21,Insufficient,0.1,0.2,0.0,0.9,0.0,0.2,0.0,0.135,Insufficient,0.0,0.2,0.0,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.76,0.7,1.0,0.9,0.4,0.6,0.6004,0.6574,0.5319999999999999,compliance_reporting,6
eu-water-de5990809a41,Wastewater Treatment Data - CZ,This dataset contains drinking water data collected from monitoring stations across the region. Covers all relevant water bodies within the jurisdiction.,21,utilities,CZ,CZ Water Agency,national_hydro,,,,0,2025-12-17,monthly,,False,,False,0,,False,1,False,0.265,Insufficient,0.5,0.6,0.0,0.0,0.0,0.4,0.0,0.105,Insufficient,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.205,Insufficient,0.0,0.3,0.4,0.0,0.4,0.0,0.5,0.73,1.0,1.0,0.3,0.4,0.6,0.53655,0.65335,0.58035,compliance_reporting,7
eu-water-efbec3105ac5,Pesticide Monitoring - FR,,0,agricultural_runoff,FR,FR Environmental Agency,national_hydro,CSV,2019-01-01,2020-12-31,1,2025-11-20,monthly,,False,,False,2,,False,5,True,0.395,Insufficient,0.5,0.6,0.0,0.9,0.0,0.0,0.3,0.235,Insufficient,0.3,0.0,0.0,0.3,0.9,0.0,0.5,0.5750000000000001,Partial,0.3,1.0,0.7,0.9,0.0,0.0,0.5,0.85,1.0,1.0,0.9,0.4,0.6,0.51425,0.65025,0.36124999999999996,compliance_reporting,8
eu-water-580f8b5617f9,Water Quality Monitoring Data - IT,Comprehensive bathing water information compiled under EU reporting requirements.,9,water_quality,IT,IT Water Agency,national_hydro,PDF,,,0,2025-11-29,weekly,,False,,False,0,,False,1,False,0.325,Insufficient,0.5,0.8,0.0,0.2,0.0,0.2,0.0,0.085,Insufficient,0.0,0.2,0.0,0.0,0.2,0.0,0.5,0.215,Insufficient,0.0,0.3,0.4,0.2,0.2,0.0,0.5,0.71,1.0,1.0,0.2,0.4,0.6,0.47925,0.64965,0.55735,compliance_reporting,9
eu-water-5f9b282fbfac,Water Quality Monitoring Data - LV,,0,water_quality,LV,LV River Basin District,regional,CSV,,,0,2023-02-25,monthly,,False,,False,0,,False,1,False,0.28,Insufficient,0.1,0.6,0.0,0.9,0.0,0.0,0.0,0.095,Insufficient,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.28,Insufficient,0.0,0.3,0.4,0.9,0.0,0.0,0.1,0.7,0.5,1.0,0.9,0.4,0.6,0.504,0.6335,0.504,compliance_reporting,10
eu-water-ce8bf674dd80,European Water Quality Monitoring Data,Comprehensive chemical status information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,17,water_quality,EU,EU Regional Water Authority,regional,CSV,,,0,2025-07-20,annual,,False,,False,0,,False,1,False,0.28,Insufficient,0.3,0.3,0.0,0.9,0.0,0.2,0.0,0.145,Insufficient,0.0,0.2,0.0,0.0,0.9,0.0,0.3,0.43,Partial,0.0,0.3,1.0,0.9,0.2,0.0,0.3,0.74,0.5,1.0,0.9,0.4,1.0,0.5327999999999999,0.6326999999999999,0.42180000000000006,compliance_reporting,11
eu-water-d4d2b7b50ddc,Water Quality Monitoring Data - FR,,0,water_quality,FR,FR River Basin District,regional,NetCDF,,,0,2024-10-18,unknown,,False,,False,0,,False,1,False,0.1525,Insufficient,0.1,0.0,0.0,0.85,0.0,0.0,0.0,0.09,Insufficient,0.0,0.0,0.0,0.0,0.85,0.0,0.1,0.2725,Insufficient,0.0,0.3,0.4,0.85,0.0,0.0,0.1,0.69,0.5,1.0,0.85,0.4,0.6,0.5847749999999999,0.6279,0.501975,compliance_reporting,12
eu-water-477adb2f4e1e,Flood Risk Assessment - SI,Comprehensive flood information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,16,floods,SI,SI Water Agency,national_hydro,,,,0,2025-12-11,unknown,country_level,False,,False,0,,False,1,False,0.195,Insufficient,0.5,0.0,0.3,0.0,0.0,0.2,0.0,0.14,Insufficient,0.0,0.2,0.5,0.0,0.0,0.0,0.5,0.185,Insufficient,0.0,0.3,0.4,0.0,0.2,0.0,0.5,0.73,1.0,1.0,0.3,0.4,0.6,0.5876499999999999,0.6278,0.59495,compliance_reporting,13
eu-water-2edf0ddae228,Nitrate Concentrations - FR,This dataset contains monitoring data collected from monitoring stations across the region. Covers all relevant water bodies within the jurisdiction.,20,agricultural_runoff,FR,FR Ministry of Environment,ministry,CSV,,,0,2024-07-07,annual,,False,,False,0,,False,1,False,0.24,Insufficient,0.1,0.3,0.0,0.9,0.0,0.4,0.0,0.175,Insufficient,0.0,0.4,0.0,0.0,0.9,0.0,0.1,0.32,Insufficient,0.0,0.3,0.4,0.9,0.4,0.0,0.1,0.76,0.7,1.0,0.9,0.4,0.6,0.5776,0.627,0.5167999999999999,compliance_reporting,14
eu-water-c9f81bf194a7,European Water Quality Monitoring Data,Aggregated statistics on biological quality derived from national reporting systems.,10,water_quality,EU,EU River Basin District,regional,Shapefile,,,0,2024-04-24,monthly,,False,,False,0,,False,1,False,0.2674999999999999,Insufficient,0.1,0.6,0.0,0.75,0.0,0.2,0.0,0.12,Insufficient,0.0,0.2,0.0,0.0,0.75,0.0,0.1,0.3975,Insufficient,0.0,0.3,1.0,0.75,0.2,0.0,0.1,0.71,0.5,1.0,0.75,0.4,1.0,0.5200750000000001,0.6248,0.427775,compliance_reporting,15
eu-water-29a5bb6d97b8,Water Quality Monitoring Data - AT,This dataset contains surface water data collected from monitoring stations across the region.,13,water_quality,AT,AT Hydrological Service,national_hydro,,,,0,2023-05-04,unknown,,False,CC0,True,0,,False,1,False,0.135,Insufficient,0.1,0.0,0.0,0.0,1.0,0.2,0.0,0.145,Insufficient,0.0,0.2,0.0,0.0,0.0,1.0,0.1,0.215,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.1,0.73,1.0,1.0,0.3,0.4,0.6,0.63145,0.62415,0.5730500000000001,compliance_reporting,16
eu-water-87bf4df36df5,Climate Water Projections - DK,Spatial dataset representing monitoring conditions based on field surveys and modeling.,11,cross_cutting,DK,DK Water Agency,national_hydro,Shapefile,,,0,2025-11-20,weekly,,False,EU-ODP,True,0,,False,1,False,0.5075000000000001,Partial,0.5,0.8,0.0,0.75,1.0,0.2,0.0,0.24,Insufficient,0.0,0.2,0.0,0.0,0.75,1.0,0.5,0.3475,Insufficient,0.0,0.3,0.4,0.75,0.2,1.0,0.5,0.8200000000000001,1.0,1.0,0.75,0.4,0.6,0.40385,0.6232000000000001,0.5350500000000001,compliance_reporting,17
eu-water-d1e204387c47,Water Quality Monitoring Data - PL,,0,water_quality,PL,PL Regional Water Authority,regional,CSV,,,0,2026-01-04,annual,,False,,False,0,,False,1,False,0.32,Insufficient,0.5,0.3,0.0,0.9,0.0,0.0,0.0,0.115,Insufficient,0.0,0.0,0.0,0.0,0.9,0.0,0.5,0.3,Insufficient,0.0,0.3,0.4,0.9,0.0,0.0,0.5,0.7,0.5,1.0,0.9,0.4,0.6,0.4759999999999999,0.6194999999999999,0.48999999999999994,compliance_reporting,18
eu-water-48d3f5343920,Flood Risk Assessment - DE,This dataset contains coastal flood data collected from monitoring stations across the region. Covers all relevant water bodies within the jurisdiction.,21,floods,DE,DE Environmental Agency,national_hydro,,2023-01-01,2025-12-31,2,2024-03-28,annual,,False,,False,0,,False,1,False,0.105,Insufficient,0.1,0.3,0.0,0.0,0.0,0.4,0.0,0.16,Insufficient,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.185,Insufficient,0.0,0.3,0.4,0.0,0.4,0.0,0.1,0.73,1.0,1.0,0.3,0.4,0.6,0.65335,0.6132,0.59495,compliance_reporting,19
eu-water-08e7444abc71,Water Quality Monitoring Data - ES,,0,water_quality,ES,ES Regional Water Authority,regional,JSON,,,0,2026-01-19,irregular,,False,,False,0,,False,1,False,0.375,Insufficient,0.8,0.2,0.0,0.9,0.0,0.0,0.0,0.13,Insufficient,0.0,0.0,0.0,0.0,0.9,0.0,0.8,0.315,Insufficient,0.0,0.3,0.4,0.9,0.0,0.0,0.8,0.7,0.5,1.0,0.9,0.4,0.6,0.4375,0.609,0.4795,compliance_reporting,20
eu-water-70ef983e94e6,Water Quality Monitoring Data - BE,,0,water_quality,BE,BE Water Agency,national_hydro,Shapefile,2002-01-01,2022-12-31,20,2025-11-21,monthly,bbox,True,,False,0,,False,1,False,0.5575,Partial,0.5,0.6,1.0,0.75,0.0,0.0,0.0,0.47,Partial,1.0,0.0,0.8,0.0,0.75,0.0,0.5,0.2775,Insufficient,0.0,0.3,0.4,0.75,0.0,0.0,0.5,0.91,1.0,1.0,0.75,1.0,0.6,0.402675,0.48230000000000006,0.6574749999999999,cross_border,1
eu-water-ce6e2e90717c,Programme of Measures - FI,Aggregated statistics on programme of measures derived from national reporting systems. Updated regularly as part of ongoing monitoring programs.,19,wfd_metrics,FI,FI Water Agency,national_hydro,Excel,2003-01-01,2023-12-31,20,2024-05-29,daily,region_name,False,,False,0,,False,1,False,0.425,Partial,0.1,1.0,0.5,0.6,0.0,0.2,0.0,0.505,Partial,1.0,0.2,1.0,0.0,0.6,0.0,0.1,0.255,Insufficient,0.0,0.3,0.4,0.6,0.2,0.0,0.1,0.88,1.0,1.0,0.6,1.0,0.6,0.506,0.4356,0.6556,cross_border,2
eu-water-c19c0149a915,Flood Risk Assessment - SK,Comprehensive return period information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,17,floods,SK,SK Environmental Agency,national_hydro,CSV,2008-01-01,2023-12-31,15,2024-01-27,monthly,coordinates,True,,False,0,,False,1,False,0.49,Partial,0.1,0.6,1.0,0.9,0.0,0.2,0.0,0.505,Partial,1.0,0.2,0.8,0.0,0.9,0.0,0.1,0.3,Insufficient,0.0,0.3,0.4,0.9,0.2,0.0,0.1,0.91,1.0,1.0,0.9,0.8,0.6,0.4641,0.45045,0.637,cross_border,3
eu-water-82ad2e2bbbd8,Water Quality Monitoring Data - DE,Comprehensive surface water information compiled under EU reporting requirements. Data quality has been validated according to standard procedures.,18,water_quality,DE,DE Water Agency,national_hydro,NetCDF,2014-01-01,2024-12-31,10,2024-11-27,monthly,bbox,True,,False,0,,False,1,False,0.4825,Partial,0.1,0.6,1.0,0.85,0.0,0.2,0.0,0.5,Partial,1.0,0.2,0.8,0.0,0.85,0.0,0.1,0.2925,Insufficient,0.0,0.3,0.4,0.85,0.2,0.0,0.1,0.9,1.0,1.0,0.85,0.8,0.6,0.46575000000000005,0.45,0.63675,cross_border,4
