country_code,n_datasets,early_warning_mean,early_warning_median,early_warning_std,early_warning_ready_pct,early_warning_partial_pct,early_warning_insufficient_pct,compliance_mean,compliance_median,compliance_std,compliance_ready_pct,compliance_partial_pct,compliance_insufficient_pct,cross_border_mean,cross_border_median,cross_border_std,cross_border_ready_pct,cross_border_partial_pct,cross_border_insufficient_pct,composite_mean,composite_median,composite_std,early_warning_temporal_recency_mean,early_warning_update_frequency_mean,early_warning_spatial_precision_mean,early_warning_format_readability_mean,early_warning_license_openness_mean,early_warning_description_quality_mean,early_warning_vocabulary_standard_mean,compliance_reporting_temporal_coverage_mean,compliance_reporting_description_quality_mean,compliance_reporting_spatial_aggregation_mean,compliance_reporting_vocabulary_standard_mean,compliance_reporting_format_readability_mean,compliance_reporting_license_openness_mean,compliance_reporting_temporal_recency_mean,cross_border_vocabulary_standard_mean,cross_border_multilingual_mean,cross_border_spatial_coverage_mean,cross_border_format_readability_mean,cross_border_description_quality_mean,cross_border_license_openness_mean,cross_border_temporal_recency_mean
SE,5,0.242,0.225,0.0585,0.0,0.0,100.0,0.146,0.125,0.0329,0.0,0.0,100.0,0.182,0.145,0.0559,0.0,0.0,100.0,0.19,0.1983,0.0306,0.04,0.12,1.0,0.0,0.0,0.0,0.16,0.0,0.0,0.8,0.16,0.0,0.0,0.04,0.16,0.3,0.4,0.0,0.0,0.0,0.04
PL,5,0.245,0.225,0.0326,0.0,0.0,100.0,0.199,0.195,0.0065,0.0,0.0,100.0,0.309,0.265,0.0902,0.0,20.0,80.0,0.251,0.2283,0.0346,0.08,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.08,0.5,0.44,0.46,0.0,0.0,0.0,0.08
LV,3,0.28,0.3,0.0346,0.0,0.0,100.0,0.17,0.17,0.0,0.0,0.0,100.0,0.22,0.22,0.0,0.0,0.0,100.0,0.2233,0.23,0.0115,0.1,0.2,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.3,0.0,0.0,0.1,0.3,0.3,0.4,0.0,0.0,0.0,0.1
SI,3,0.225,0.225,0.0,0.0,0.0,100.0,0.1717,0.195,0.0404,0.0,0.0,100.0,0.3583,0.465,0.1848,0.0,66.67,33.33,0.2517,0.295,0.0751,0.0333,0.0,1.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.8,0.3333,0.0,0.0,0.0333,0.3333,0.7667,0.6,0.0,0.0,0.0,0.0333
FI,3,0.26,0.25,0.0265,0.0,0.0,100.0,0.1833,0.18,0.0153,0.0,0.0,100.0,0.24,0.23,0.0265,0.0,0.0,100.0,0.2278,0.2333,0.0158,0.1667,0.0,1.0,0.0,0.0,0.0,0.3667,0.0,0.0,0.8,0.3667,0.0,0.0,0.1667,0.3667,0.3,0.4,0.0,0.0,0.0,0.1667
MT,1,0.235,0.235,,0.0,0.0,100.0,0.25,0.25,,0.0,0.0,100.0,0.415,0.415,,0.0,100.0,0.0,0.3,0.3,,0.5,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.3,0.4,0.0,0.0,0.0,0.5
EE,1,0.225,0.225,,0.0,0.0,100.0,0.195,0.195,,0.0,0.0,100.0,0.265,0.265,,0.0,0.0,100.0,0.2283,0.2283,,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0
PT,1,0.25,0.25,,0.0,0.0,100.0,0.27,0.27,,0.0,0.0,100.0,0.39,0.39,,0.0,0.0,100.0,0.3033,0.3033,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,1.0,0.3,0.4,0.0,0.0,0.0,0.0
BG,1,0.25,0.25,,0.0,0.0,100.0,0.27,0.27,,0.0,0.0,100.0,0.39,0.39,,0.0,0.0,100.0,0.3033,0.3033,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,1.0,0.3,0.4,0.0,0.0,0.0,0.0
HR,1,0.225,0.225,,0.0,0.0,100.0,0.195,0.195,,0.0,0.0,100.0,0.265,0.265,,0.0,0.0,100.0,0.2283,0.2283,,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0
